tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2
Table1a,2021.0,3.0,30140.0,32457.0,Albuquerque," NM""""",San Francisco," CA (Metropolitan Area)""""",10140.0,14771.0,ABQ,SFO,896.0,188.0,246.07,UA,0.6493,255.54,WN,0.1346,221.69202131014014771ABQSFO
Table1a,2021.0,3.0,30140.0,32457.0,Albuquerque," NM""""",San Francisco," CA (Metropolitan Area)""""",10140.0,14831.0,ABQ,SJC,896.0,61.0,209.22,WN,0.6566,200.07,WN,0.6566,200.07202131014014831ABQSJC
Table1a,2021.0,3.0,30140.0,32575.0,Albuquerque," NM""""",Los Angeles," CA (Metropolitan Area)""""",10140.0,10800.0,ABQ,BUR,677.0,39.0,205.45,WN,0.6592,205.43,AA,0.243,196.01202131014010800ABQBUR
Table1a,2021.0,3.0,30140.0,32575.0,Albuquerque," NM""""",Los Angeles," CA (Metropolitan Area)""""",10140.0,12892.0,ABQ,LAX,677.0,572.0,172.93,DL,0.379,181.73,WN,0.2572,158.14202131014012892ABQLAX
Table1a,2021.0,3.0,30140.0,32575.0,Albuquerque," NM""""",Los Angeles," CA (Metropolitan Area)""""",10140.0,12954.0,ABQ,LGB,677.0,12.0,201.28,WN,0.5636,187.75,DL,0.1182,180.77202131014012954ABQLGB
Table1a,2021.0,3.0,30140.0,32575.0,Albuquerque," NM""""",Los Angeles," CA (Metropolitan Area)""""",10140.0,13891.0,ABQ,ONT,677.0,52.0,212.31,WN,0.5933,204.21,WN,0.5933,204.21202131014013891ABQONT
Table1a,2021.0,3.0,30140.0,32575.0,Albuquerque," NM""""",Los Angeles," CA (Metropolitan Area)""""",10140.0,14908.0,ABQ,SNA,677.0,79.0,222.87,WN,0.614,216.43,AA,0.3201,215.59202131014014908ABQSNA
Table1a,2021.0,3.0,30154.0,31703.0,Nantucket," MA""""",New York City," NY (Metropolitan Area)""""",10154.0,11618.0,ACK,EWR,218.0,176.0,165.27,UA,0.5473,169.32,B6,0.446,160.08202131015411618ACKEWR
Table1a,2021.0,3.0,30154.0,31703.0,Nantucket," MA""""",New York City," NY (Metropolitan Area)""""",10154.0,12197.0,ACK,HPN,218.0,78.0,189.08,B6,0.9958,188.57,B6,0.9958,188.57202131015412197ACKHPN
Table1a,2021.0,3.0,30154.0,31703.0,Nantucket," MA""""",New York City," NY (Metropolitan Area)""""",10154.0,12478.0,ACK,JFK,218.0,210.0,156.66,B6,0.7464,155.54,B6,0.7464,155.54202131015412478ACKJFK
Table1a,2021.0,3.0,30154.0,31703.0,Nantucket," MA""""",New York City," NY (Metropolitan Area)""""",10154.0,12953.0,ACK,LGA,218.0,135.0,157.09,B6,0.846,153.24,B6,0.846,153.24202131015412953ACKLGA
Table1a,2021.0,3.0,30189.0,30194.0,Colorado Springs," CO""""",Dallas/Fort Worth," TX""""",11109.0,11259.0,COS,DAL,602.0,194.0,122.76,WN,1.0,122.76,WN,1.0,122.76202131110911259COSDAL
Table1a,2021.0,3.0,30189.0,30194.0,Colorado Springs," CO""""",Dallas/Fort Worth," TX""""",11109.0,11298.0,COS,DFW,602.0,343.0,154.47,AA,0.98,153.63,AA,0.98,153.63202131110911298COSDFW
Table1a,2021.0,3.0,30189.0,30466.0,Colorado Springs," CO""""",Phoenix," AZ""""",11109.0,14107.0,COS,PHX,551.0,261.0,120.59,WN,0.8219,124.41,F9,0.1164,67.59202131110914107COSPHX
Table1a,2021.0,3.0,30189.0,30852.0,Colorado Springs," CO""""",Washington," DC (Metropolitan Area)""""",11109.0,10821.0,COS,BWI,1503.0,65.0,251.59,WN,0.5386,238.9,WN,0.5386,238.90202131110910821COSBWI
Table1a,2021.0,3.0,30189.0,30852.0,Colorado Springs," CO""""",Washington," DC (Metropolitan Area)""""",11109.0,11278.0,COS,DCA,1503.0,84.0,278.14,AA,0.5724,287.79,WN,0.1886,199.98202131110911278COSDCA
Table1a,2021.0,3.0,30189.0,30852.0,Colorado Springs," CO""""",Washington," DC (Metropolitan Area)""""",11109.0,12264.0,COS,IAD,1503.0,63.0,301.82,UA,0.6045,342.52,WN,0.2763,200.22202131110912264COSIAD
Table1a,2021.0,3.0,30189.0,32575.0,Colorado Springs," CO""""",Los Angeles," CA (Metropolitan Area)""""",11109.0,10800.0,COS,BUR,833.0,33.0,183.97,WN,0.6558,159.2,WN,0.6558,159.20202131110910800COSBUR
Table1a,2021.0,3.0,30189.0,32575.0,Colorado Springs," CO""""",Los Angeles," CA (Metropolitan Area)""""",11109.0,12892.0,COS,LAX,833.0,109.0,203.47,UA,0.6444,221.23,WN,0.2251,152.75202131110912892COSLAX
Table1a,2021.0,3.0,30189.0,32575.0,Colorado Springs," CO""""",Los Angeles," CA (Metropolitan Area)""""",11109.0,12954.0,COS,LGB,833.0,24.0,143.75,WN,0.8571,120.82,WN,0.8571,120.82202131110912954COSLGB
Table1a,2021.0,3.0,30189.0,32575.0,Colorado Springs," CO""""",Los Angeles," CA (Metropolitan Area)""""",11109.0,13891.0,COS,ONT,833.0,46.0,188.22,WN,0.5619,171.16,WN,0.5619,171.16202131110913891COSONT
Table1a,2021.0,3.0,30189.0,32575.0,Colorado Springs," CO""""",Los Angeles," CA (Metropolitan Area)""""",11109.0,14908.0,COS,SNA,833.0,48.0,200.83,WN,0.5666,170.91,WN,0.5666,170.91202131110914908COSSNA
Table1a,2021.0,3.0,30194.0,30198.0,Dallas/Fort Worth," TX""""",Pittsburgh," PA""""",11259.0,14122.0,DAL,PIT,1067.0,65.0,209.05,WN,0.921,206.89,WN,0.921,206.89202131125914122DALPIT
Table1a,2021.0,3.0,30194.0,30198.0,Dallas/Fort Worth," TX""""",Pittsburgh," PA""""",11298.0,14122.0,DFW,PIT,1067.0,432.0,238.32,AA,0.9359,240.38,NK,0.0138,95.38202131129814122DFWPIT
Table1a,2021.0,3.0,30194.0,30325.0,Dallas/Fort Worth," TX""""",Denver," CO""""",11259.0,11292.0,DAL,DEN,651.0,1033.0,134.1,WN,0.9985,134.14,WN,0.9985,134.14202131125911292DALDEN
Table1a,2021.0,3.0,30194.0,30325.0,Dallas/Fort Worth," TX""""",Denver," CO""""",11298.0,11292.0,DFW,DEN,651.0,1904.0,134.51,AA,0.6307,141.57,UA,0.2787,135.21202131129811292DFWDEN
Table1a,2021.0,3.0,30194.0,30436.0,Dallas/Fort Worth," TX""""",Tucson," AZ""""",11259.0,15376.0,DAL,TUS,824.0,16.0,208.04,WN,0.9868,206.89,WN,0.9868,206.89202131125915376DALTUS
Table1a,2021.0,3.0,30194.0,30436.0,Dallas/Fort Worth," TX""""",Tucson," AZ""""",11298.0,15376.0,DFW,TUS,824.0,186.0,228.87,AA,0.9427,229.5,UA,0.0345,211.31202131129815376DFWTUS
Table1a,2021.0,3.0,30194.0,30466.0,Dallas/Fort Worth," TX""""",Phoenix," AZ""""",11259.0,14107.0,DAL,PHX,879.0,876.0,140.45,WN,0.9975,140.49,WN,0.9975,140.49202131125914107DALPHX
Table1a,2021.0,3.0,30194.0,30466.0,Dallas/Fort Worth," TX""""",Phoenix," AZ""""",11298.0,14107.0,DFW,PHX,879.0,1027.0,178.45,AA,0.9076,184.17,NK,0.0493,92.39202131129814107DFWPHX
Table1a,2021.0,3.0,30194.0,30529.0,Dallas/Fort Worth," TX""""",Hartford," CT""""",11259.0,10529.0,DAL,BDL,1471.0,24.0,280.38,WN,0.8795,269.29,WN,0.8795,269.29202131125910529DALBDL
Table1a,2021.0,3.0,30194.0,30529.0,Dallas/Fort Worth," TX""""",Hartford," CT""""",11298.0,10529.0,DFW,BDL,1471.0,212.0,286.95,AA,0.7766,293.8,AA,0.7766,293.80202131129810529DFWBDL
Table1a,2021.0,3.0,30194.0,30559.0,Dallas/Fort Worth," TX""""",Seattle," WA""""",11259.0,14747.0,DAL,SEA,1670.0,445.0,193.65,AS,0.6464,188.36,AS,0.6464,188.36202131125914747DALSEA
Table1a,2021.0,3.0,30194.0,30559.0,Dallas/Fort Worth," TX""""",Seattle," WA""""",11298.0,14747.0,DFW,SEA,1670.0,1292.0,215.53,AA,0.4881,227.16,AS,0.4334,205.36202131129814747DFWSEA
Table1a,2021.0,3.0,30194.0,30615.0,Dallas/Fort Worth," TX""""",El Paso," TX""""",11259.0,11540.0,DAL,ELP,562.0,350.0,162.0,WN,1.0,162.0,WN,1.0,162.00202131125911540DALELP
Table1a,2021.0,3.0,30194.0,30615.0,Dallas/Fort Worth," TX""""",El Paso," TX""""",11298.0,11540.0,DFW,ELP,562.0,350.0,171.0,AA,0.9938,170.78,AA,0.9938,170.78202131129811540DFWELP
Table1a,2021.0,3.0,30194.0,30693.0,Dallas/Fort Worth," TX""""",Nashville," TN""""",11259.0,10693.0,DAL,BNA,631.0,550.0,157.21,WN,0.9929,156.76,WN,0.9929,156.76202131125910693DALBNA
Table1a,2021.0,3.0,30194.0,30693.0,Dallas/Fort Worth," TX""""",Nashville," TN""""",11298.0,10693.0,DFW,BNA,631.0,700.0,172.04,AA,0.9473,174.14,F9,0.0263,69.43202131129810693DFWBNA
Table1a,2021.0,3.0,30194.0,30852.0,Dallas/Fort Worth," TX""""",Washington," DC (Metropolitan Area)""""",11259.0,10821.0,DAL,BWI,1217.0,649.0,176.22,WN,0.9883,175.89,WN,0.9883,175.89202131125910821DALBWI
Table1a,2021.0,3.0,30194.0,30852.0,Dallas/Fort Worth," TX""""",Washington," DC (Metropolitan Area)""""",11259.0,11278.0,DAL,DCA,1217.0,278.0,202.77,WN,0.9808,201.83,WN,0.9808,201.83202131125911278DALDCA
Table1a,2021.0,3.0,30194.0,30852.0,Dallas/Fort Worth," TX""""",Washington," DC (Metropolitan Area)""""",11259.0,12264.0,DAL,IAD,1217.0,17.0,226.73,WN,0.7756,215.95,WN,0.7756,215.95202131125912264DALIAD
Table1a,2021.0,3.0,30194.0,30852.0,Dallas/Fort Worth," TX""""",Washington," DC (Metropolitan Area)""""",11298.0,10821.0,DFW,BWI,1217.0,647.0,181.97,AA,0.7187,202.68,NK,0.2188,105.78202131129810821DFWBWI
Table1a,2021.0,3.0,30194.0,30852.0,Dallas/Fort Worth," TX""""",Washington," DC (Metropolitan Area)""""",11298.0,11278.0,DFW,DCA,1217.0,722.0,252.24,AA,0.9541,252.06,AA,0.9541,252.06202131129811278DFWDCA
Table1a,2021.0,3.0,30194.0,30852.0,Dallas/Fort Worth," TX""""",Washington," DC (Metropolitan Area)""""",11298.0,12264.0,DFW,IAD,1217.0,352.0,248.61,UA,0.4994,245.32,UA,0.4994,245.32202131129812264DFWIAD
Table1a,2021.0,3.0,30194.0,31123.0,Dallas/Fort Worth," TX""""",St. Louis," MO""""",11259.0,15016.0,DAL,STL,550.0,460.0,167.3,WN,0.9976,167.27,WN,0.9976,167.27202131125915016DALSTL
Table1a,2021.0,3.0,30194.0,31123.0,Dallas/Fort Worth," TX""""",St. Louis," MO""""",11298.0,15016.0,DFW,STL,550.0,404.0,173.99,AA,0.9795,173.46,AA,0.9795,173.46202131129815016DFWSTL
Table1a,2021.0,3.0,30194.0,31135.0,Dallas/Fort Worth," TX""""",Myrtle Beach," SC""""",11259.0,13577.0,DAL,MYR,1048.0,38.0,167.45,WN,0.8949,163.64,WN,0.8949,163.64202131125913577DALMYR
Table1a,2021.0,3.0,30194.0,31135.0,Dallas/Fort Worth," TX""""",Myrtle Beach," SC""""",11298.0,13577.0,DFW,MYR,1048.0,195.0,166.15,AA,0.8389,172.96,NK,0.0881,87.79202131129813577DFWMYR
Table1a,2021.0,3.0,30194.0,31136.0,Dallas/Fort Worth," TX""""",Jacksonville," FL""""",11259.0,12451.0,DAL,JAX,918.0,52.0,190.04,WN,0.8998,183.34,WN,0.8998,183.34202131125912451DALJAX
Table1a,2021.0,3.0,30194.0,31136.0,Dallas/Fort Worth," TX""""",Jacksonville," FL""""",11298.0,12451.0,DFW,JAX,918.0,414.0,199.56,AA,0.9485,196.93,AA,0.9485,196.93202131129812451DFWJAX
Table1a,2021.0,3.0,30194.0,31295.0,Dallas/Fort Worth," TX""""",Detroit," MI""""",11259.0,11433.0,DAL,DTW,986.0,65.0,161.72,WN,0.8754,149.38,WN,0.8754,149.38202131125911433DALDTW
Table1a,2021.0,3.0,30194.0,31295.0,Dallas/Fort Worth," TX""""",Detroit," MI""""",11298.0,11433.0,DFW,DTW,986.0,1236.0,163.13,DL,0.4949,173.31,AA,0.4005,166.37202131129811433DFWDTW
Table1a,2021.0,3.0,30194.0,31423.0,Dallas/Fort Worth," TX""""",Des Moines," IA""""",11259.0,11423.0,DAL,DSM,624.0,7.0,183.3,WN,0.9844,183.47,WN,0.9844,183.47202131125911423DALDSM
Table1a,2021.0,3.0,30194.0,31423.0,Dallas/Fort Worth," TX""""",Des Moines," IA""""",11298.0,11423.0,DFW,DSM,624.0,180.0,212.01,AA,0.8867,214.54,UA,0.0699,187.21202131129811423DFWDSM
Table1a,2021.0,3.0,30194.0,31453.0,Dallas/Fort Worth," TX""""",Houston," TX""""",11259.0,12191.0,DAL,HOU,247.0,560.0,165.35,WN,0.9971,165.42,WN,0.9971,165.42202131125912191DALHOU
Table1a,2021.0,3.0,30194.0,31453.0,Dallas/Fort Worth," TX""""",Houston," TX""""",11259.0,12266.0,DAL,IAH,247.0,107.0,149.83,WN,1.0,149.83,WN,1.0,149.83202131125912266DALIAH
Table1a,2021.0,3.0,30194.0,31453.0,Dallas/Fort Worth," TX""""",Houston," TX""""",11298.0,12191.0,DFW,HOU,247.0,132.0,157.34,AA,0.9727,157.42,AA,0.9727,157.42202131129812191DFWHOU
Table1a,2021.0,3.0,30194.0,31453.0,Dallas/Fort Worth," TX""""",Houston," TX""""",11298.0,12266.0,DFW,IAH,247.0,442.0,164.19,AA,0.5483,160.07,AA,0.5483,160.07202131129812266DFWIAH
Table1a,2021.0,3.0,30194.0,31454.0,Dallas/Fort Worth," TX""""",Orlando," FL""""",11259.0,13204.0,DAL,MCO,985.0,753.0,156.03,WN,0.9827,155.27,WN,0.9827,155.27202131125913204DALMCO
Table1a,2021.0,3.0,30194.0,31454.0,Dallas/Fort Worth," TX""""",Orlando," FL""""",11298.0,13204.0,DFW,MCO,985.0,1623.0,161.06,AA,0.7233,183.34,NK,0.2005,86.91202131129813204DFWMCO
Table1a,2021.0,3.0,30194.0,31481.0,Dallas/Fort Worth," TX""""",Panama City," FL""""",11259.0,11481.0,DAL,ECP,685.0,247.0,153.96,WN,0.9842,153.63,WN,0.9842,153.63202131125911481DALECP
Table1a,2021.0,3.0,30194.0,31481.0,Dallas/Fort Worth," TX""""",Panama City," FL""""",11298.0,11481.0,DFW,ECP,685.0,172.0,191.07,AA,0.9034,191.39,DL,0.0663,182.69202131129811481DFWECP
Table1a,2021.0,3.0,30194.0,31504.0,Dallas/Fort Worth," TX""""",Valparaiso," FL""""",11259.0,15624.0,DAL,VPS,641.0,99.0,165.24,WN,0.9639,164.7,WN,0.9639,164.70202131125915624DALVPS
Table1a,2021.0,3.0,30194.0,31504.0,Dallas/Fort Worth," TX""""",Valparaiso," FL""""",11298.0,15624.0,DFW,VPS,641.0,424.0,184.18,AA,0.9726,184.37,DL,0.0195,169.47202131129815624DFWVPS
Table1a,2021.0,3.0,30194.0,31638.0,Dallas/Fort Worth," TX""""",Fresno," CA""""",11259.0,11638.0,DAL,FAT,1325.0,19.0,220.11,WN,0.8409,229.05,AS,0.142,156.60202131125911638DALFAT
Table1a,2021.0,3.0,30194.0,31638.0,Dallas/Fort Worth," TX""""",Fresno," CA""""",11298.0,11638.0,DFW,FAT,1325.0,176.0,247.52,AA,0.8845,250.02,UA,0.0451,225.38202131129811638DFWFAT
Table1a,2021.0,3.0,30194.0,31650.0,Dallas/Fort Worth," TX""""",Minneapolis/St. Paul," MN""""",11259.0,13487.0,DAL,MSP,853.0,118.0,130.46,WN,0.9889,129.91,WN,0.9889,129.91202131125913487DALMSP
Table1a,2021.0,3.0,30194.0,31650.0,Dallas/Fort Worth," TX""""",Minneapolis/St. Paul," MN""""",11298.0,13487.0,DFW,MSP,853.0,1272.0,129.98,DL,0.4874,132.46,DL,0.4874,132.46202131129813487DFWMSP
Table1a,2021.0,3.0,30194.0,31703.0,Dallas/Fort Worth," TX""""",New York City," NY (Metropolitan Area)""""",11259.0,11618.0,DAL,EWR,1428.0,5.0,219.33,DL,1.0,219.33,DL,1.0,219.33202131125911618DALEWR
Table1a,2021.0,3.0,30194.0,31703.0,Dallas/Fort Worth," TX""""",New York City," NY (Metropolitan Area)""""",11259.0,12197.0,DAL,HPN,1428.0,1.0,230.18,DL,1.0,230.18,DL,1.0,230.18202131125912197DALHPN
Table1a,2021.0,3.0,30194.0,31703.0,Dallas/Fort Worth," TX""""",New York City," NY (Metropolitan Area)""""",11259.0,12391.0,DAL,ISP,1428.0,24.0,179.65,WN,1.0,179.65,WN,1.0,179.65202131125912391DALISP
Table1a,2021.0,3.0,30194.0,31703.0,Dallas/Fort Worth," TX""""",New York City," NY (Metropolitan Area)""""",11259.0,12478.0,DAL,JFK,1428.0,4.0,185.84,DL,0.9697,189.34,DL,0.9697,189.34202131125912478DALJFK
Table1a,2021.0,3.0,30194.0,31703.0,Dallas/Fort Worth," TX""""",New York City," NY (Metropolitan Area)""""",11259.0,12953.0,DAL,LGA,1428.0,379.0,169.62,WN,0.9759,168.98,WN,0.9759,168.98202131125912953DALLGA
Table1a,2021.0,3.0,30194.0,31703.0,Dallas/Fort Worth," TX""""",New York City," NY (Metropolitan Area)""""",11298.0,11618.0,DFW,EWR,1428.0,1239.0,201.73,UA,0.4243,197.59,F9,0.1144,103.33202131129811618DFWEWR
Table1a,2021.0,3.0,30194.0,31703.0,Dallas/Fort Worth," TX""""",New York City," NY (Metropolitan Area)""""",11298.0,12197.0,DFW,HPN,1428.0,13.0,277.56,AA,0.582,277.55,AA,0.582,277.55202131129812197DFWHPN
Table1a,2021.0,3.0,30194.0,31703.0,Dallas/Fort Worth," TX""""",New York City," NY (Metropolitan Area)""""",11298.0,12391.0,DFW,ISP,1428.0,5.0,295.83,AA,0.8,315.21,F9,0.1556,140.00202131129812391DFWISP
Table1a,2021.0,3.0,30194.0,31703.0,Dallas/Fort Worth," TX""""",New York City," NY (Metropolitan Area)""""",11298.0,12478.0,DFW,JFK,1428.0,516.0,192.11,DL,0.3431,209.54,B6,0.2968,167.77202131129812478DFWJFK
Table1a,2021.0,3.0,30194.0,31703.0,Dallas/Fort Worth," TX""""",New York City," NY (Metropolitan Area)""""",11298.0,12953.0,DFW,LGA,1428.0,1784.0,204.68,AA,0.5109,230.55,DL,0.3601,188.40202131129812953DFWLGA
Table1a,2021.0,3.0,30194.0,31703.0,Dallas/Fort Worth," TX""""",New York City," NY (Metropolitan Area)""""",11298.0,15070.0,DFW,SWF,1428.0,2.0,225.21,AA,0.9565,224.05,AA,0.9565,224.05202131129815070DFWSWF
Table1a,2021.0,3.0,30194.0,31714.0,Dallas/Fort Worth," TX""""",Fort Myers," FL""""",11259.0,14635.0,DAL,RSW,1017.0,92.0,173.33,WN,0.96,171.82,WN,0.96,171.82202131125914635DALRSW
Table1a,2021.0,3.0,30194.0,31714.0,Dallas/Fort Worth," TX""""",Fort Myers," FL""""",11298.0,14635.0,DFW,RSW,1017.0,300.0,204.15,AA,0.9609,203.25,AA,0.9609,203.25202131129814635DFWRSW
Table1a,2021.0,3.0,30194.0,31871.0,Dallas/Fort Worth," TX""""",Greenville/Spartanburg," SC""""",11259.0,11996.0,DAL,GSP,862.0,28.0,198.88,WN,0.8,193.17,WN,0.8,193.17202131125911996DALGSP
Table1a,2021.0,3.0,30194.0,31871.0,Dallas/Fort Worth," TX""""",Greenville/Spartanburg," SC""""",11298.0,11996.0,DFW,GSP,862.0,167.0,223.35,AA,0.8584,220.39,AA,0.8584,220.39202131129811996DFWGSP
Table1a,2021.0,3.0,30194.0,31884.0,Dallas/Fort Worth," TX""""",Spokane," WA""""",11259.0,11884.0,DAL,GEG,1486.0,42.0,228.18,WN,0.6803,234.72,AS,0.3018,210.91202131125911884DALGEG
Table1a,2021.0,3.0,30194.0,31884.0,Dallas/Fort Worth," TX""""",Spokane," WA""""",11298.0,11884.0,DFW,GEG,1486.0,162.0,270.33,AA,0.5251,306.72,DL,0.2482,221.63202131129811884DFWGEG
Table1a,2021.0,3.0,30194.0,31986.0,Dallas/Fort Worth," TX""""",Grand Rapids," MI""""",11259.0,11986.0,DAL,GRR,931.0,23.0,214.82,WN,0.8785,205.3,WN,0.8785,205.30202131125911986DALGRR
Table1a,2021.0,3.0,30194.0,31986.0,Dallas/Fort Worth," TX""""",Grand Rapids," MI""""",11298.0,11986.0,DFW,GRR,931.0,212.0,247.31,AA,0.7981,250.83,DL,0.142,239.90202131129811986DFWGRR
Table1a,2021.0,3.0,30194.0,32206.0,Dallas/Fort Worth," TX""""",Harlingen/San Benito," TX""""",11259.0,12206.0,DAL,HRL,461.0,130.0,146.68,WN,0.9992,146.74,WN,0.9992,146.74202131125912206DALHRL
Table1a,2021.0,3.0,30194.0,32206.0,Dallas/Fort Worth," TX""""",Harlingen/San Benito," TX""""",11298.0,12206.0,DFW,HRL,461.0,85.0,166.14,AA,0.8766,161.52,AA,0.8766,161.52202131129812206DFWHRL
Table1a,2021.0,3.0,30194.0,32211.0,Dallas/Fort Worth," TX""""",Las Vegas," NV""""",11259.0,12889.0,DAL,LAS,1067.0,984.0,170.82,WN,0.9954,170.81,WN,0.9954,170.81202131125912889DALLAS
Table1a,2021.0,3.0,30194.0,32211.0,Dallas/Fort Worth," TX""""",Las Vegas," NV""""",11298.0,12889.0,DFW,LAS,1067.0,1966.0,183.07,AA,0.6275,221.53,NK,0.2037,107.52202131129812889DFWLAS
Table1a,2021.0,3.0,30194.0,32337.0,Dallas/Fort Worth," TX""""",Indianapolis," IN""""",11259.0,12339.0,DAL,IND,761.0,130.0,180.96,WN,0.9707,179.6,WN,0.9707,179.60202131125912339DALIND
Table1a,2021.0,3.0,30194.0,32337.0,Dallas/Fort Worth," TX""""",Indianapolis," IN""""",11298.0,12339.0,DFW,IND,761.0,469.0,201.78,AA,0.9478,200.86,AA,0.9478,200.86202131129812339DFWIND
